"","X.1","X","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"121",1952,1952,"Ethiopia:ETH","China:CHN",201,40,"ETH","CHN","Coffee",2010
"122",1953,1953,"Ethiopia:ETH","Japan:JPN",747235,184200,"ETH","JPN","Coffee",2010
"123",1954,1954,"Ethiopia:ETH","Australia:AUS",88441,30000,"ETH","AUS","Coffee",2005
"124",1955,1955,"Ethiopia:ETH","Belgium:BEL",962867,450000,"ETH","BEL","Coffee",2005
"125",1956,1956,"Ethiopia:ETH","Bulgaria:BGR",40836,18000,"ETH","BGR","Coffee",2005
"126",1957,1957,"Ethiopia:ETH","Myanmar:MMR",388448,180000,"ETH","MMR","Coffee",2005
"127",1958,1958,"Ethiopia:ETH","Canada:CAN",222535,75000,"ETH","CAN","Coffee",2005
"128",1959,1959,"Ethiopia:ETH","China:CHN",275846,126000,"ETH","CHN","Coffee",2005
"129",1960,1960,"Ethiopia:ETH","Denmark:DNK",517862,270000,"ETH","DNK","Coffee",2005
"130",1961,1961,"Ethiopia:ETH","France:FRA",1709226,828000,"ETH","FRA","Coffee",2005
"131",1962,1962,"Ethiopia:ETH","Djibouti:DJI",2669190,1252800,"ETH","DJI","Coffee",2005
"132",1963,1963,"Ethiopia:ETH","Germany:DEU",10448917,4550460,"ETH","DEU","Coffee",2005
"133",1964,1964,"Ethiopia:ETH","Greece:GRC",120979,55200,"ETH","GRC","Coffee",2005
"134",1965,1965,"Ethiopia:ETH","Italy:ITA",2259353,809100,"ETH","ITA","Coffee",2005
"135",1966,1966,"Ethiopia:ETH","Japan:JPN",5541071,2450200,"ETH","JPN","Coffee",2005
"136",1967,1967,"Ethiopia:ETH","Rep. of Korea:KOR",39635,18000,"ETH","KOR","Coffee",2005
"137",1968,1968,"Ethiopia:ETH","Other Asia, nes:",34827,18000,"ETH","","Coffee",2005
"138",1969,1969,"Ethiopia:ETH","Netherlands:NLD",275596,99600,"ETH","NLD","Coffee",2005
"139",1970,1970,"Ethiopia:ETH","New Zealand:NZL",1742,600,"ETH","NZL","Coffee",2005
"140",1971,1971,"Ethiopia:ETH","Norway:NOR",236141,127200,"ETH","NOR","Coffee",2005
